epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,1729.63,0.15391,0.22705,0.77721,0.97104,0.95433,0.995,0.94363,0.29495,0.22024,0.75099,0.000393176,0.000393176,0.000393176
162,1740.29,0.14315,0.22518,0.78059,0.95967,0.96108,0.995,0.94298,0.2898,0.21924,0.75257,0.000390427,0.000390427,0.000390427
163,1751.13,0.14275,0.21757,0.76715,0.95476,0.96183,0.995,0.94221,0.29209,0.21388,0.75006,0.000387678,0.000387678,0.000387678
164,1761.81,0.14445,0.21818,0.77834,0.93176,0.9683,0.995,0.9462,0.28971,0.22783,0.74654,0.000384929,0.000384929,0.000384929
165,1772.34,0.15116,0.23203,0.78508,0.92396,0.9624,0.995,0.95265,0.27687,0.20858,0.74355,0.00038218,0.00038218,0.00038218
166,1783.02,0.14513,0.2168,0.77758,0.95242,0.96018,0.995,0.93496,0.29103,0.21963,0.74913,0.000379431,0.000379431,0.000379431
167,1793.6,0.15266,0.2206,0.78049,0.95101,0.96052,0.995,0.93407,0.29125,0.21574,0.7494,0.000376683,0.000376683,0.000376683
168,1804.3,0.14418,0.21556,0.77304,0.96301,0.95737,0.995,0.93003,0.29146,0.20917,0.74659,0.000373934,0.000373934,0.000373934
169,1814.88,0.14318,0.22297,0.76596,0.96887,0.94976,0.995,0.93859,0.29017,0.22577,0.74743,0.000371185,0.000371185,0.000371185
170,1825.24,0.14745,0.22041,0.78624,0.9688,0.94823,0.995,0.94116,0.29079,0.21665,0.74657,0.000368436,0.000368436,0.000368436
171,1835.72,0.14538,0.21242,0.77891,0.96864,0.94839,0.995,0.93986,0.28764,0.21566,0.7449,0.000365687,0.000365687,0.000365687
172,1846.13,0.14355,0.21486,0.78063,0.97566,0.94748,0.995,0.94833,0.28956,0.21252,0.74319,0.000362938,0.000362938,0.000362938
173,1856.78,0.14332,0.20914,0.78047,0.98149,0.94572,0.995,0.95369,0.27683,0.20077,0.74089,0.000360189,0.000360189,0.000360189
174,1867.25,0.13717,0.20325,0.77295,0.98257,0.94893,0.995,0.94372,0.27871,0.19931,0.74286,0.00035744,0.00035744,0.00035744
175,1877.78,0.14496,0.21665,0.78038,0.97817,0.95113,0.995,0.95137,0.27332,0.19876,0.74242,0.000354691,0.000354691,0.000354691
176,1888.2,0.14415,0.20627,0.77981,0.9818,0.94932,0.995,0.93599,0.27688,0.209,0.74164,0.000351942,0.000351942,0.000351942
